年齢,is_tnf,per_total
10歳代,224.0,1.5347721822541966
10歳未満,104.0,0.7125727989037342
20歳代,585.0,4.008221993833504
30歳代,954.0,6.536485097636177
40歳代,1261.0,8.639945186707777
50歳代,2146.0,14.703665638917437
60歳代,3749.0,25.686879068174033
70歳代,3461.0,23.71360054813292
80歳代,932.0,6.385748544021926
90歳代,34.0,0.2329564919492977
不明,1000.0,6.851661527920521
小児,3.0,0.020554984583761562
成人,52.0,0.3562863994518671
新生児,20.0,0.1370332305584104
第一トライメスター,1.0,0.006851661527920521
胎児,3.0,0.020554984583761562
青少年,3.0,0.020554984583761562
高齢者,63.0,0.4316546762589928
